threshold,precision,recall,f1_score,true_positives,false_positives,false_negatives,true_negatives,false_alarms_per_alert,missed_events
0.05,0.10239429444727458,1.0,0.18576709796672827,201,1762,0,0,9.766169154228857,0
0.07,0.10239429444727458,1.0,0.18576709796672827,201,1762,0,0,9.766169154228857,0
0.09000000000000001,0.1116046640755136,1.0,0.2007992007992008,201,1600,0,162,8.960199004975124,0
0.11000000000000001,0.1215235792019347,1.0,0.21671159029649595,201,1453,0,309,8.228855721393035,0
0.13,0.15414110429447853,1.0,0.267109634551495,201,1103,0,659,6.487562189054726,0
0.15000000000000002,0.17033898305084746,1.0,0.29109341057204924,201,979,0,783,5.870646766169154,0
0.17000000000000004,0.2,1.0,0.3333333333333333,201,804,0,958,5.0,0
0.19,0.21800433839479394,1.0,0.3579697239536955,201,721,0,1041,4.587064676616915,0
0.21000000000000002,0.24334140435835352,1.0,0.3914313534566699,201,625,0,1137,4.109452736318408,0
0.23000000000000004,0.26002587322121606,1.0,0.4127310061601643,201,572,0,1190,3.8457711442786064,0
0.25000000000000006,0.26666666666666666,0.9751243781094527,0.4188034188034188,196,539,5,1223,3.75,5
0.27,0.27650429799426934,0.9601990049751243,0.42936596218020023,193,505,8,1257,3.616580310880829,8
0.29000000000000004,0.291350531107739,0.9552238805970149,0.44651162790697674,192,467,9,1295,3.4322916666666665,9
0.31000000000000005,0.29750778816199375,0.9502487562189055,0.4531435349940688,191,451,10,1311,3.361256544502618,10
0.33,0.2976,0.9253731343283582,0.45036319612590797,186,439,15,1323,3.360215053763441,15
0.35000000000000003,0.30130293159609123,0.9203980099502488,0.4539877300613497,185,429,16,1333,3.3189189189189188,16
0.37000000000000005,0.3060200668896321,0.9104477611940298,0.45807259073842305,183,415,18,1347,3.2677595628415297,18
0.39000000000000007,0.3159722222222222,0.9054726368159204,0.46846846846846846,182,394,19,1368,3.164835164835165,19
0.4100000000000001,0.3224043715846995,0.8805970149253731,0.472,177,372,24,1390,3.101694915254237,24
0.43000000000000005,0.330188679245283,0.8706467661691543,0.478796169630643,175,355,26,1407,3.028571428571429,26
0.45000000000000007,0.33013435700575816,0.8557213930348259,0.47645429362880887,172,349,29,1413,3.0290697674418605,29
0.4700000000000001,0.3379721669980119,0.845771144278607,0.48295454545454547,170,333,31,1429,2.958823529411765,31
0.49000000000000005,0.36899563318777295,0.8407960199004975,0.5128983308042488,169,289,32,1473,2.7100591715976328,32
0.5100000000000001,0.37028301886792453,0.7810945273631841,0.5024,157,267,44,1495,2.700636942675159,44
0.5300000000000001,0.37566137566137564,0.7064676616915423,0.4905008635578584,142,236,59,1526,2.6619718309859155,59
0.5500000000000002,0.38950276243093923,0.7014925373134329,0.5008880994671403,141,221,60,1541,2.5673758865248226,60
0.5700000000000002,0.4005681818181818,0.7014925373134329,0.5099457504520796,141,211,60,1551,2.49645390070922,60
0.5900000000000002,0.41839762611275966,0.7014925373134329,0.5241635687732342,141,196,60,1566,2.3900709219858154,60
0.6100000000000001,0.43302180685358255,0.6915422885572139,0.5325670498084292,139,182,62,1580,2.3093525179856114,62
0.6300000000000001,0.44816053511705684,0.6666666666666666,0.536,134,165,67,1597,2.2313432835820897,67
0.6500000000000001,0.4379310344827586,0.6318407960199005,0.5173116089613035,127,163,74,1599,2.283464566929134,74
0.6700000000000002,0.4340277777777778,0.6218905472636815,0.5112474437627812,125,163,76,1599,2.304,76
0.6900000000000002,0.42402826855123676,0.5970149253731343,0.49586776859504134,120,163,81,1599,2.3583333333333334,81
0.7100000000000002,0.3917910447761194,0.5223880597014925,0.44776119402985076,105,163,96,1599,2.552380952380952,96
0.7300000000000002,0.3730769230769231,0.48258706467661694,0.420824295010846,97,163,104,1599,2.6804123711340204,104
0.7500000000000002,0.3730769230769231,0.48258706467661694,0.420824295010846,97,163,104,1599,2.6804123711340204,104
0.7700000000000002,0.39330543933054396,0.46766169154228854,0.42727272727272725,94,145,107,1617,2.5425531914893615,107
0.7900000000000001,0.42028985507246375,0.43283582089552236,0.4264705882352941,87,120,114,1642,2.3793103448275863,114
0.8100000000000002,0.3037974683544304,0.23880597014925373,0.26740947075208915,48,110,153,1652,3.2916666666666665,153
0.8300000000000002,0.22058823529411764,0.14925373134328357,0.17804154302670624,30,106,171,1656,4.533333333333333,171
0.8500000000000002,0.009433962264150943,0.004975124378109453,0.006514657980456026,1,105,200,1657,106.0,200
0.8700000000000002,0.0,0.0,0.0,0,87,201,1675,inf,201
0.8900000000000002,0.0,0.0,0.0,0,35,201,1727,inf,201
0.9100000000000003,0.0,0.0,0.0,0,0,201,1762,inf,201
0.9300000000000002,0.0,0.0,0.0,0,0,201,1762,inf,201
0.9500000000000002,0.0,0.0,0.0,0,0,201,1762,inf,201
